Rk,Team,Season,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Oklahoma City Thunder,2012-2013,26,60,22,64,18,9.21,-0.06,9.15,112.4,102.6,9.8,93.3,0.338,0.244,0.58,0.527,14.4,26.7,0.28,0.469,13.5,73.4,0.197,Chesapeake Energy Arena,746323,18203
2,Miami Heat,2012-2013,30.3,66,16,62,20,7.87,-0.84,7.03,112.3,103.7,8.6,90.7,0.297,0.285,0.588,0.552,13.7,22.2,0.224,0.487,14.8,73,0.2,AmericanAirlines Arena,819290,19983
3,Los Angeles Clippers,2012-2013,28.8,56,26,59,23,6.45,-0.02,6.43,110.6,103.6,7,91.1,0.286,0.265,0.557,0.526,13.9,28.8,0.203,0.492,15.4,73.5,0.229,STAPLES Center,788293,19227
4,San Antonio Spurs,2012-2013,28.6,58,24,58,24,6.4,0.27,6.67,108.3,101.6,6.7,94.2,0.258,0.264,0.568,0.531,14,20.5,0.204,0.48,13.7,74.9,0.179,AT&T Center,755700,18432
5,Denver Nuggets,2012-2013,26.1,57,25,55,27,5.09,0.28,5.37,110.4,105.1,5.3,95.1,0.308,0.217,0.549,0.515,13.6,31.4,0.216,0.493,14.3,71.8,0.193,Pepsi Center,730616,17820
6,New York Knicks,2012-2013,30.2,54,28,53,29,4.23,-0.5,3.73,111.1,106.3,4.8,89.8,0.258,0.354,0.55,0.515,11.7,25.6,0.196,0.508,14.8,74.7,0.216,Madison Square Garden (IV),780353,19033
7,Memphis Grizzlies,2012-2013,27,56,26,54,28,4.15,0.18,4.32,104.9,100.3,4.6,88.4,0.261,0.166,0.514,0.472,13.3,31,0.202,0.475,15.2,74.3,0.209,FedEx Forum,681613,16625
8,Indiana Pacers,2012-2013,25.7,49,32,52,29,4.02,-0.69,3.34,104.3,99.8,4.5,90.2,0.293,0.245,0.521,0.479,14.3,30.3,0.219,0.453,12.9,74.6,0.197,Bankers Life Fieldhouse,626069,15270
9,Houston Rockets,2012-2013,24.4,45,37,50,32,3.48,0.22,3.69,109.7,106.1,3.6,96.1,0.308,0.349,0.564,0.525,14.9,26.4,0.232,0.502,13.5,75.2,0.196,Toyota Center,683564,16672
10,Brooklyn Nets,2012-2013,28.6,49,33,46,36,1.78,-0.53,1.25,108.2,106.2,2,88.8,0.299,0.269,0.536,0.498,14,30.9,0.219,0.503,13.1,73.7,0.174,Barclays Center,704702,17188
11,Los Angeles Lakers,2012-2013,30.7,45,37,44,38,1.16,0.32,1.48,107.8,106.6,1.2,94.4,0.345,0.303,0.548,0.512,13.9,27,0.239,0.496,11.9,74.3,0.163,STAPLES Center,778877,18997
12,Golden State Warriors,2012-2013,25.3,47,35,44,38,0.89,0.42,1.32,106.4,105.5,0.9,94.5,0.255,0.239,0.545,0.506,14,25.4,0.201,0.486,12.4,75.5,0.211,Oracle Arena,794320,19374
13,Atlanta Hawks,2012-2013,27.1,44,38,42,40,0.4,-0.48,-0.08,104.8,104.4,0.4,92.6,0.244,0.286,0.546,0.517,14.2,22.2,0.174,0.496,14.2,73.6,0.181,Philips Arena,620146,15126
14,Chicago Bulls,2012-2013,28,45,37,42,40,0.32,-0.33,-0.02,103.5,103.2,0.3,89.3,0.259,0.189,0.512,0.47,13.6,29.4,0.201,0.477,13.2,73.6,0.206,United Center,896944,21877
15,Utah Jazz,2012-2013,26.3,43,39,41,41,-0.09,0.38,0.3,106.7,106.8,-0.1,90.9,0.281,0.206,0.533,0.492,13.8,28.8,0.214,0.501,14,73.2,0.226,EnergySolutions Arena,763915,18632
16,Boston Celtics,2012-2013,29.1,41,40,40,41,-0.22,-0.4,-0.62,103.1,103.3,-0.2,91.7,0.263,0.215,0.542,0.503,14.1,20.1,0.204,0.482,14.2,73.3,0.216,TD Garden,744960,18624
17,Dallas Mavericks,2012-2013,29.5,41,41,39,43,-0.6,0.36,-0.24,105.9,106.5,-0.6,94.1,0.242,0.236,0.544,0.506,13,21.8,0.192,0.492,13.3,73.1,0.227,American Airlines Center,821490,20036
18,Milwaukee Bucks,2012-2013,26.4,38,44,37,45,-1.5,-0.33,-1.83,103.6,105.2,-1.6,94.7,0.236,0.232,0.51,0.476,12.7,27.9,0.174,0.492,14.4,71.3,0.201,BMO Harris Bradley Center,616469,15036
19,Toronto Raptors,2012-2013,25.4,34,48,37,45,-1.48,-0.48,-1.96,105.9,107.5,-1.6,90.4,0.274,0.249,0.532,0.488,13,25.5,0.216,0.5,13.6,73.4,0.247,Air Canada Centre,743936,18145
20,Minnesota Timberwolves,2012-2013,26.4,31,51,34,48,-2.37,0.54,-1.83,102.9,105.4,-2.5,92.8,0.305,0.22,0.516,0.473,13.8,27.4,0.226,0.511,15,74,0.187,Target Center,669956,16340
21,Washington Wizards,2012-2013,25.4,29,53,33,49,-2.54,-0.25,-2.78,100.2,103,-2.8,92.2,0.261,0.223,0.512,0.475,14.2,24.6,0.191,0.483,13.7,74.6,0.206,Verizon Center,670070,16343
22,Portland Trail Blazers,2012-2013,24.4,33,49,32,50,-3.17,0.65,-2.53,105.8,109.2,-3.4,91.4,0.25,0.284,0.536,0.498,13.9,25.3,0.194,0.512,12.5,73.3,0.189,Rose Garden Arena,813012,19830
23,Philadelphia 76ers,2012-2013,25.2,34,48,31,51,-3.34,-0.17,-3.51,102,105.7,-3.7,91,0.2,0.209,0.509,0.481,12.5,24.9,0.146,0.495,13.7,73.4,0.2,Wells Fargo Center,685412,16717
24,Detroit Pistons,2012-2013,25.3,29,53,29,53,-3.99,-0.34,-4.33,103.8,108.1,-4.3,90.8,0.282,0.217,0.521,0.487,14.3,28.3,0.197,0.505,13.1,73,0.209,The Palace of Auburn Hills,606094,14685
25,New Orleans Hornets,2012-2013,24,27,55,30,52,-3.87,0.75,-3.12,105.7,110.1,-4.4,88.5,0.248,0.224,0.528,0.489,14,29.2,0.193,0.52,13.1,74.4,0.208,New Orleans Arena,565930,13803
26,Cleveland Cavaliers,2012-2013,24.1,24,58,28,54,-4.68,-0.19,-4.87,104.3,109.4,-5.1,92.3,0.265,0.229,0.514,0.473,13,28.1,0.2,0.523,14.4,72.6,0.225,Quicken Loans Arena,663882,16192
27,Sacramento Kings,2012-2013,25.6,28,54,28,54,-4.88,0.62,-4.26,106.2,111.4,-5.2,93.6,0.271,0.243,0.532,0.491,13.4,26.6,0.208,0.517,13.6,71,0.227,Sleep Train Arena,563743,13750
28,Phoenix Suns,2012-2013,26.9,25,57,23,59,-6.46,0.71,-5.75,101.2,108.1,-6.9,93.4,0.234,0.21,0.512,0.477,14.3,27,0.174,0.512,14.2,71.9,0.208,US Airways Center,632913,15437
29,Orlando Magic,2012-2013,24.6,20,62,22,60,-6.99,-0.14,-7.12,101.6,109.1,-7.5,92.2,0.197,0.223,0.514,0.485,13.7,25.4,0.149,0.508,11.8,74.6,0.195,Amway Center,722716,17627
30,Charlotte Bobcats,2012-2013,24.4,21,61,17,65,-9.23,-0.06,-9.29,101.5,111.5,-10,91.5,0.31,0.21,0.507,0.46,13.2,25.7,0.233,0.524,13.2,71.1,0.197,Time Warner Cable Arena,628293,15324
1,San Antonio Spurs,2013-2014,28.9,62,20,61,21,7.72,0.28,8,110.5,102.4,8.1,95,0.24,0.257,0.571,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,AT&T Center,755031,18415
2,Los Angeles Clippers,2013-2014,28.1,57,25,59,23,6.98,0.3,7.27,112.1,104.8,7.3,95.9,0.353,0.291,0.567,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222,STAPLES Center,787692,19212
3,Oklahoma City Thunder,2013-2014,26.2,59,23,58,24,6.34,0.32,6.66,110.5,103.9,6.6,95.4,0.303,0.271,0.566,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221,Chesapeake Energy Arena,746323,18203
4,Miami Heat,2013-2014,30.6,54,28,54,28,4.76,-0.61,4.15,110.9,105.8,5.1,91.2,0.3,0.292,0.59,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212,AmericanAirlines Arena,811036,19781
5,Golden State Warriors,2013-2014,26.3,51,31,54,28,4.8,0.34,5.15,107.5,102.6,4.9,96.2,0.247,0.291,0.55,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,Oracle Arena,803436,19596
6,Indiana Pacers,2013-2014,27.2,56,26,54,28,4.4,-0.77,3.63,104.1,99.3,4.8,92.5,0.29,0.235,0.535,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197,Bankers Life Fieldhouse,717542,17501
7,Houston Rockets,2013-2014,25.4,54,28,53,29,4.56,0.5,5.06,111,106.3,4.7,96.3,0.386,0.33,0.571,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,Toyota Center,743082,18124
8,Portland Trail Blazers,2013-2014,25.8,54,28,52,30,3.99,0.45,4.44,111.5,107.4,4.1,94.9,0.27,0.29,0.548,0.504,12.4,28,0.22,0.488,11,74.7,0.194,Moda Center,809612,19747
9,Toronto Raptors,2013-2014,25.6,48,34,50,32,3.24,-0.69,2.55,108.8,105.3,3.5,91.8,0.306,0.285,0.545,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,Air Canada Centre,748339,18252
10,Phoenix Suns,2013-2014,26.2,48,34,48,34,2.63,0.39,3.02,109.5,106.7,2.8,95.8,0.293,0.3,0.558,0.519,14,26.4,0.222,0.496,13.9,73.7,0.237,US Airways Center,650739,15872
11,Minnesota Timberwolves,2013-2014,26.3,40,42,48,34,2.67,0.43,3.1,108.9,106.2,2.7,97.3,0.321,0.245,0.535,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177,Target Center,597157,14565
12,Dallas Mavericks,2013-2014,30.6,49,33,48,34,2.4,0.5,2.91,111.2,108.7,2.5,93.5,0.253,0.274,0.564,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,American Airlines Center,817982,19951
13,Chicago Bulls,2013-2014,28.6,48,34,47,35,1.85,-0.66,1.2,102.5,100.5,2,90.2,0.29,0.222,0.518,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189,United Center,890370,21716
14,Memphis Grizzlies,2013-2014,28.5,50,32,46,36,1.57,0.61,2.18,106.3,104.6,1.7,89.9,0.248,0.171,0.529,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,FedEx Forum,685458,16718
15,Washington Wizards,2013-2014,26.3,44,38,45,37,1.27,-0.79,0.48,106,104.6,1.4,93.2,0.248,0.246,0.538,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22,Verizon Center,698068,17026
16,Charlotte Bobcats,2013-2014,25.5,43,39,40,42,-0.22,-0.67,-0.89,103.6,103.8,-0.2,92.4,0.297,0.219,0.522,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,Time Warner Cable Arena,636268,15519
17,Atlanta Hawks,2013-2014,27.5,38,44,40,42,-0.48,-0.4,-0.88,105.9,106.4,-0.5,94.6,0.266,0.316,0.554,0.515,14.3,21,0.208,0.51,14,74.4,0.196,Philips Arena,587927,14231
18,New York Knicks,2013-2014,28.3,37,45,39,43,-0.79,-0.61,-1.4,108.3,109.1,-0.8,90.3,0.248,0.302,0.541,0.505,12.5,25.1,0.189,0.514,14,74.3,0.245,Madison Square Garden (IV),812292,19812
19,Brooklyn Nets,2013-2014,30,44,38,38,44,-1,-0.58,-1.58,106.7,107.7,-1,91.4,0.313,0.301,0.555,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,Barclays Center,707331,17252
20,Denver Nuggets,2013-2014,26,36,46,35,47,-2.15,0.75,-1.4,106,108.2,-2.2,98.1,0.306,0.278,0.536,0.497,14,27.5,0.222,0.5,12.8,74.5,0.233,Pepsi Center,692898,16900
21,New Orleans Pelicans,2013-2014,24.3,34,48,33,49,-2.71,0.73,-1.98,107.2,110.1,-2.9,92.2,0.286,0.193,0.537,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,Smoothie King Center,672029,16391
22,Sacramento Kings,2013-2014,24.9,28,54,33,49,-2.9,0.82,-2.08,105.7,108.8,-3.1,94.4,0.331,0.218,0.532,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,Sleep Train Arena,667949,16291
23,Cleveland Cavaliers,2013-2014,24.9,33,49,32,50,-3.29,-0.57,-3.86,104.2,107.7,-3.5,93.1,0.268,0.236,0.518,0.479,13,27.2,0.201,0.508,13,75.8,0.199,Quicken Loans Arena,710522,17330
24,Detroit Pistons,2013-2014,24.7,29,53,31,51,-3.66,-0.48,-4.13,105.9,109.7,-3.8,94.9,0.296,0.222,0.514,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218,The Palace of Auburn Hills,616005,15025
25,Boston Celtics,2013-2014,25.4,25,57,28,54,-4.46,-0.51,-4.97,102.9,107.7,-4.8,93.3,0.248,0.251,0.517,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227,TD Garden,742400,18107
26,Orlando Magic,2013-2014,24.6,23,59,26,56,-5.44,-0.44,-5.88,101.7,107.4,-5.7,93.6,0.253,0.235,0.525,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211,Amway Center,666046,16245
27,Los Angeles Lakers,2013-2014,26.8,27,55,25,57,-6.29,0.96,-5.33,104.2,110.6,-6.4,98.7,0.263,0.291,0.542,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192,STAPLES Center,771974,18829
28,Utah Jazz,2013-2014,24.5,25,57,22,60,-7.17,0.91,-6.27,103.5,111.3,-7.8,91.4,0.271,0.237,0.523,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227,EnergySolutions Arena,745203,18176
29,Milwaukee Bucks,2013-2014,24.7,15,67,20,62,-8.18,-0.23,-8.41,103,111.8,-8.8,91.8,0.274,0.231,0.519,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225,BMO Harris Bradley Center,552067,13465
30,Philadelphia 76ers,2013-2014,23.4,19,63,16,66,-10.45,-0.21,-10.66,99.4,109.9,-10.5,99.2,0.268,0.258,0.51,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244,Wells Fargo Center,568632,13869
1,Golden State Warriors,2014-2015,26.6,67,15,65,17,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217,Oracle Arena,803436,19596
2,Los Angeles Clippers,2014-2015,28.8,56,26,58,24,6.59,0.22,6.8,112.4,105.5,6.9,94.7,0.303,0.322,0.565,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231,STAPLES Center,785892,19168
3,San Antonio Spurs,2014-2015,29.8,55,27,58,24,6.2,0.14,6.34,108.5,102,6.5,93.8,0.256,0.269,0.555,0.517,13.1,23.4,0.2,0.484,13.3,77.3,0.19,AT&T Center,762855,18606
4,Atlanta Hawks,2014-2015,27.8,60,22,56,26,5.43,-0.68,4.75,108.9,103.1,5.8,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185,Philips Arena,713909,17412
5,Cleveland Cavaliers,2014-2015,26.9,53,29,53,29,4.48,-0.4,4.08,111.1,106.3,4.8,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177,Quicken Loans Arena,843042,20562
6,Portland Trail Blazers,2014-2015,27,51,31,53,29,4.23,0.18,4.41,108.2,103.7,4.5,94.2,0.225,0.316,0.544,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182,Moda Center,798368,19472
7,Houston Rockets,2014-2015,27.6,56,26,50,32,3.44,0.38,3.82,107,103.4,3.6,96.5,0.312,0.392,0.548,0.512,15,26.8,0.223,0.486,14.6,72.9,0.208,Toyota Center,747412,18230
8,Memphis Grizzlies,2014-2015,29.6,55,27,50,32,3.24,0.38,3.62,105.7,102.2,3.5,92,0.276,0.184,0.531,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183,FedEx Forum,710502,17329
9,Toronto Raptors,2014-2015,26.1,49,33,49,33,3.07,-0.62,2.45,111,107.7,3.3,92.8,0.295,0.302,0.553,0.508,12,25.6,0.232,0.506,13.4,73.3,0.208,Air Canada Centre,809824,19752
10,Chicago Bulls,2014-2015,28.8,50,32,50,32,3,-0.46,2.54,107.5,104.3,3.2,92.8,0.304,0.269,0.536,0.489,12.9,27,0.238,0.473,11.3,74.4,0.182,United Center,886612,21625
11,Dallas Mavericks,2014-2015,29.9,50,32,49,33,2.9,0.46,3.36,109.5,106.4,3.1,95.2,0.262,0.296,0.55,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204,American Airlines Center,827702,20188
12,Oklahoma City Thunder,2014-2015,25.4,45,37,47,35,2.18,0.28,2.47,107.8,105.5,2.3,95.7,0.284,0.262,0.532,0.492,13.1,28.9,0.214,0.489,12.4,75.6,0.213,Chesapeake Energy Arena,746323,18203
13,New Orleans Pelicans,2014-2015,25.3,45,37,43,39,0.79,0.34,1.13,108.2,107.3,0.9,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195,Smoothie King Center,683757,16677
14,Washington Wizards,2014-2015,28.6,46,36,43,39,0.72,-0.55,0.17,103.7,103,0.7,93.7,0.259,0.203,0.534,0.499,14,24.9,0.192,0.481,12.9,77.3,0.21,Verizon Center,747796,18239
15,Milwaukee Bucks,2014-2015,24.6,41,41,42,40,0.43,-0.52,-0.09,102.7,102.2,0.5,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221,BMO Harris Bradley Center,593910,14813
16,Indiana Pacers,2014-2015,28.3,38,44,42,40,0.28,-0.51,-0.23,103.5,103.2,0.3,93.2,0.266,0.255,0.523,0.484,13.1,24,0.201,0.478,12,77.9,0.217,Bankers Life Fieldhouse,691434,16864
17,Utah Jazz,2014-2015,23.4,38,44,42,40,0.22,0.49,0.71,105.1,104.9,0.2,90.4,0.297,0.274,0.531,0.494,14.6,29.1,0.214,0.491,12.8,76.3,0.199,EnergySolutions Arena,772059,18831
18,Boston Celtics,2014-2015,25,40,42,41,41,0.16,-0.56,-0.4,104.7,104.5,0.2,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.176,0.494,13.7,75,0.208,TD Garden,721350,17594
19,Phoenix Suns,2014-2015,25.7,39,43,38,44,-0.9,0.52,-0.38,105.3,106.2,-0.9,96.3,0.251,0.291,0.537,0.501,13.7,24.5,0.191,0.497,14,73.5,0.221,US Airways Center,693862,16923
20,Detroit Pistons,2014-2015,25.9,32,50,38,44,-1,-0.39,-1.39,105.3,106.4,-1.1,92.8,0.261,0.29,0.515,0.482,12.3,27.7,0.184,0.502,13.2,75,0.192,The Palace of Auburn Hills,625917,15266
21,Miami Heat,2014-2015,28.5,37,45,33,49,-2.6,-0.32,-2.92,103.9,106.7,-2.8,90.9,0.306,0.262,0.54,0.5,14.5,23.2,0.227,0.505,14.2,73.4,0.213,AmericanAirlines Arena,808223,19713
22,Brooklyn Nets,2014-2015,28.6,38,44,33,49,-2.88,-0.25,-3.13,104.4,107.4,-3,92.7,0.267,0.24,0.529,0.491,13,23.9,0.2,0.506,12.9,73.7,0.185,Barclays Center,698529,17037
23,Charlotte Hornets,2014-2015,26,33,49,32,50,-3.17,-0.27,-3.44,100.1,103.5,-3.4,93,0.269,0.226,0.498,0.456,11.2,22.1,0.202,0.487,12,79.3,0.188,Time Warner Cable Arena,704886,17192
24,Denver Nuggets,2014-2015,26.4,30,52,31,51,-3.55,0.48,-3.07,104.5,108.2,-3.7,96.1,0.278,0.284,0.518,0.479,12.7,26.6,0.204,0.504,13,74.7,0.239,Pepsi Center,602707,14700
25,Sacramento Kings,2014-2015,26,29,53,31,51,-3.71,0.64,-3.07,105.3,109.2,-3.9,95.4,0.363,0.204,0.542,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2,Sleep Train Arena,680049,16587
26,Orlando Magic,2014-2015,24.3,25,57,25,57,-5.72,-0.15,-5.87,101.6,107.7,-6.1,93.8,0.23,0.235,0.524,0.494,14,23.1,0.168,0.514,13.6,76,0.21,Amway Center,688194,16785
27,Los Angeles Lakers,2014-2015,27,21,61,23,59,-6.84,0.67,-6.17,103.4,110.6,-7.2,94,0.276,0.22,0.513,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231,STAPLES Center,768244,18738
28,Minnesota Timberwolves,2014-2015,24.4,16,66,19,63,-8.79,0.79,-8,102.9,112.2,-9.3,94.4,0.309,0.179,0.517,0.468,13.7,26.6,0.24,0.537,13.9,71.6,0.187,Target Center,595652,14416
29,Philadelphia 76ers,2014-2015,23.2,18,64,18,64,-8.98,-0.07,-9.04,95.5,104.8,-9.3,95.7,0.288,0.319,0.494,0.459,16,25.5,0.195,0.497,15.2,73,0.225,Wells Fargo Center,571572,13941
30,New York Knicks,2014-2015,26.9,17,65,17,65,-9.32,-0.18,-9.5,99.9,110,-10.1,91.2,0.234,0.24,0.508,0.47,14,24.5,0.18,0.512,13.3,73.1,0.234,Madison Square Garden (IV),812292,19812
1,San Antonio Spurs,2015-2016,30.3,67,15,67,15,10.63,-0.36,10.28,110.3,99,11.3,93.8,0.246,0.223,0.564,0.526,12.4,23,0.197,0.477,14.1,79.1,0.182,AT&T Center,756445,18450
2,Golden State Warriors,2015-2016,27.4,73,9,65,17,10.76,-0.38,10.38,114.5,103.8,10.7,99.3,0.25,0.362,0.593,0.563,13.5,23.5,0.191,0.479,12.6,76,0.208,Oracle Arena,803436,19596
3,Oklahoma City Thunder,2015-2016,25.8,55,27,59,23,7.28,-0.19,7.09,113.1,105.6,7.5,96.7,0.292,0.275,0.565,0.524,14,31.1,0.228,0.484,11.7,76,0.205,Chesapeake Energy Arena,746323,18203
4,Cleveland Cavaliers,2015-2016,28.1,57,25,57,25,6,-0.55,5.45,110.9,104.5,6.4,93.3,0.259,0.352,0.558,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205,Quicken Loans Arena,843042,20562
5,Toronto Raptors,2015-2016,26.3,56,26,53,29,4.5,-0.42,4.08,110,105.2,4.8,92.9,0.328,0.287,0.552,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,Air Canada Centre,812863,19826
6,Los Angeles Clippers,2015-2016,29.7,53,29,53,29,4.28,-0.15,4.13,108.3,103.8,4.5,95.8,0.318,0.324,0.556,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,STAPLES Center,786910,19193
7,Atlanta Hawks,2015-2016,28.2,48,34,51,31,3.61,-0.12,3.49,105.1,101.4,3.7,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194,Philips Arena,690150,16833
8,Boston Celtics,2015-2016,25.2,48,34,50,32,3.21,-0.37,2.84,106.8,103.6,3.2,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,TD Garden,749076,18270
9,Charlotte Hornets,2015-2016,26,48,34,49,33,2.72,-0.36,2.36,107.1,104.3,2.8,95.7,0.28,0.348,0.545,0.502,11.7,20,0.222,0.496,12.5,79.8,0.191,Time Warner Cable Arena,716894,17485
10,Utah Jazz,2015-2016,24.2,40,42,46,36,1.79,0.05,1.84,105.9,103.9,2,91,0.286,0.297,0.54,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21,Vivint Smart Home Arena,791489,19305
11,Miami Heat,2015-2016,28.4,48,34,46,36,1.65,-0.14,1.5,106.1,104.4,1.7,93.6,0.282,0.221,0.545,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,AmericanAirlines Arena,809350,19740
12,Indiana Pacers,2015-2016,26.9,45,37,46,36,1.71,-0.09,1.62,104.6,102.9,1.7,96.6,0.268,0.27,0.536,0.497,13.5,23.4,0.205,0.489,14.3,76,0.205,Bankers Life Fieldhouse,690733,16847
13,Portland Trail Blazers,2015-2016,24.3,44,38,43,39,0.83,0.15,0.98,108.8,108,0.8,96,0.268,0.332,0.548,0.511,13.2,25.9,0.202,0.503,12.1,76.2,0.225,Moda Center,794085,19368
14,Detroit Pistons,2015-2016,25,44,38,43,39,0.61,-0.18,0.43,106.1,105.5,0.6,95.1,0.296,0.303,0.522,0.491,12.2,27,0.197,0.504,12.5,79.3,0.196,The Palace of Auburn Hills,677138,16516
15,Houston Rockets,2015-2016,27.8,41,41,42,40,0.2,0.14,0.34,108.3,108.1,0.2,97.6,0.352,0.37,0.553,0.516,14.2,25.7,0.244,0.516,14.7,72.8,0.219,Toyota Center,737244,17982
16,Dallas Mavericks,2015-2016,30.3,42,40,40,42,-0.3,0.29,-0.02,106.7,107,-0.3,94.3,0.265,0.339,0.544,0.502,12,20.6,0.211,0.504,12.8,76.2,0.198,American Airlines Center,825901,20144
17,Washington Wizards,2015-2016,27.3,41,41,40,42,-0.5,0,-0.5,105.3,105.8,-0.5,98.5,0.263,0.282,0.544,0.511,13.1,20.6,0.192,0.515,14.6,77.7,0.218,Verizon Center,725426,17693
18,Chicago Bulls,2015-2016,27.6,42,40,37,45,-1.48,0.01,-1.46,105,106.5,-1.5,95.7,0.24,0.244,0.526,0.487,12.6,24.5,0.189,0.485,10.7,74.9,0.182,United Center,894659,21821
19,Orlando Magic,2015-2016,23.9,35,47,36,46,-1.62,-0.06,-1.68,105.1,106.8,-1.7,96,0.232,0.255,0.533,0.5,12.8,23.1,0.175,0.513,13.8,76.5,0.215,Amway Center,719275,17515
